Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,source_name,GEO_Accession (exp),Library Name,TISSUE,Strain,Cell_type,Cell_line,TREATMENT,Age,Genotype,ENA-FIRST-PUBLIC (run),ENA-FIRST-PUBLIC,ENA-LAST-UPDATE (run),ENA-LAST-UPDATE,External_Id,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Sample_Name,Submitter_Id,common_name,Broker_name,sex,BioSampleModel,molecule_subtype,REPLICATE,Organism_part,disease,Fraction,infect,inhibitors,internal_animal_id,Cultivar,Developmental_stage,Experimental_Factor:_infect (exp),sirna,Isolate,protocol,TIME_POINT,dev_stage,injection_route,SAMPLE_TYPE,BIOMATERIAL_PROVIDER,Experimental_Factor:_genotype (exp),rna_processing,sequencing_protocol,assay,Biological_Repeat,compound,Experimental_Factor:_protocol (exp),experiment_type,LINE,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,molecule_type,analyte_type,biospecimen_repository,biospecimen_repository_sample_id,body_site,Consent_Code,Ecotype,gap_accession,study_design,study_name,subject_is_affected,submitted_subject_id,BREED,Experimental_Factor:_compound (exp),Experimental_Factor:_MHV-A59 (exp),Experimental_Factor:_cycloheximide (exp),stress_type,agent,study_disease,growth_condition,rna_fraction,spike-in,oldname,tissue_source,genotype/variation,AssemblyName,BioSample_ID,Clone,collected_by,gender,rpl10_form,disease_stage,ethinicity,Collection_Date,Experimental_Factor:_1 (exp),Experimental_Factor:_harringtonine_+_cycloheximide (exp),cell_subtype,environmental_history,Experimental_Factor:_8 (exp),Experimental_Factor:_Mock (exp),Experimental_Factor:_sampling_time_point (exp),Molecule,profiling,rna_population,sample_treatment,Stage,strategy,viral_strain,assay_type,assay_types,genetic_modification,substrain,Day,library_strategy,Experimental_Factor:_dose (exp),experimental_factor:_infection,stimulation,transduced,assayed_molecule,Experimental_Factor:_stimulus (exp),Experimental_Factor:_strain (exp),HOST,Isolation_Source,Replicates,Replication,treatment_of_lysate
SRR9694653,OTHER,50,1585948762,PRJNA554903,SAMN12286982,830432436,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6452974,Illumina HiSeq 2500,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,2019-07-16T18:00:00Z,1,GSM3944592,SRP214946,HeLa,GSM3944592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DF1 siRNA,,,,,,,,,rRNA depleted RNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR23951077,RNA-Seq,300,25383083700,PRJNA948060,SAMN33874606,12362215772,SHANGHAI NORMAL UNIVERSITY,public,"fastq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX19759905,Complete Genomics,SINGLE,PCR,TRANSCRIPTOMIC,Arabidopsis,COMPLETE_GENOMICS,2023-04-01T00:00:00Z,2023-03-23T21:14:00Z,1,RiboSeq-WT-2,SRP429001,,,RiboSeq-WT-2,leaf,,,,,4-week-old,,,,,,,,,,,,,,,,,Plant,,RiboSeq-WT-2,,,,,,,,,,,,,,,,,,,,,,,,,,,uncalculated,uncalculated,not collected,,,,,,,Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RiboSeq,,,,,,,,,,,,,,,,
SRR23951078,RNA-Seq,300,15860247600,PRJNA948060,SAMN33874605,7512287746,SHANGHAI NORMAL UNIVERSITY,public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX19759904,Complete Genomics,SINGLE,PCR,TRANSCRIPTOMIC,Arabidopsis,COMPLETE_GENOMICS,2023-04-01T00:00:00Z,2023-03-23T21:13:00Z,1,RiboSeq-WT-1,SRP429001,,,RiboSeq-WT-1,leaf,,,,,4-week-old,,,,,,,,,,,,,,,,,Plant,,RiboSeq-WT-1,,,,,,,,,,,,,,,,,,,,,,,,,,,uncalculated,uncalculated,not collected,,,,,,,Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RiboSeq,,,,,,,,,,,,,,,,
SRR23951085,RNA-Seq,300,18297437700,PRJNA948060,SAMN33874615,5888790625,SHANGHAI NORMAL UNIVERSITY,public,"sra,fastq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX19759897,Complete Genomics,SINGLE,PCR,TRANSCRIPTOMIC,Arabidopsis,COMPLETE_GENOMICS,2023-04-01T00:00:00Z,2023-03-23T21:06:00Z,1,RiboSeq-pam68-3,SRP429001,,,RiboSeq-pam68-3,leaf,,,,,4-week-old,,,,,,,,,,,,,,,,,Plant,,RiboSeq-pam68-3,,,,,,,,,,,,,,,,,,,,,,,,,,,uncalculated,uncalculated,not collected,,,,,,,Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RiboSeq,,,,,,,,,,,,,,,,
SRR23951086,RNA-Seq,300,15055702800,PRJNA948060,SAMN33874614,4905114768,SHANGHAI NORMAL UNIVERSITY,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX19759896,Complete Genomics,SINGLE,PCR,TRANSCRIPTOMIC,Arabidopsis,COMPLETE_GENOMICS,2023-04-01T00:00:00Z,2023-03-23T21:11:00Z,1,RiboSeq-fpb1-3,SRP429001,,,RiboSeq-fpb1-3,leaf,,,,,4-week-old,,,,,,,,,,,,,,,,,Plant,,RiboSeq-fpb1-3,,,,,,,,,,,,,,,,,,,,,,,,,,,uncalculated,uncalculated,not collected,,,,,,,Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RiboSeq,,,,,,,,,,,,,,,,
SRR23951087,RNA-Seq,300,15548989500,PRJNA948060,SAMN33874613,5029304566,SHANGHAI NORMAL UNIVERSITY,public,"sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX19759895,Complete Genomics,SINGLE,PCR,TRANSCRIPTOMIC,Arabidopsis,COMPLETE_GENOMICS,2023-04-01T00:00:00Z,2023-03-23T21:17:00Z,1,RiboSeq-WT-3,SRP429001,,,RiboSeq-WT-3,leaf,,,,,4-week-old,,,,,,,,,,,,,,,,,Plant,,RiboSeq-WT-3,,,,,,,,,,,,,,,,,,,,,,,,,,,uncalculated,uncalculated,not collected,,,,,,,Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RiboSeq,,,,,,,,,,,,,,,,
SRR23951088,RNA-Seq,300,22648266900,PRJNA948060,SAMN33874612,10841503639,SHANGHAI NORMAL UNIVERSITY,public,"sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX19759894,Complete Genomics,SINGLE,PCR,TRANSCRIPTOMIC,Arabidopsis,COMPLETE_GENOMICS,2023-04-01T00:00:00Z,2023-03-23T21:28:00Z,1,RiboSeq-lpa1-2,SRP429001,,,RiboSeq-lpa1-2,leaf,,,,,4-week-old,,,,,,,,,,,,,,,,,Plant,,RiboSeq-lpa1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,uncalculated,uncalculated,not collected,,,,,,,Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RiboSeq,,,,,,,,,,,,,,,,
SRR23951089,RNA-Seq,300,19181704200,PRJNA948060,SAMN33874611,9217694216,SHANGHAI NORMAL UNIVERSITY,public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX19759893,Complete Genomics,SINGLE,PCR,TRANSCRIPTOMIC,Arabidopsis,COMPLETE_GENOMICS,2023-04-01T00:00:00Z,2023-03-23T21:25:00Z,1,RiboSeq-lpa1-1,SRP429001,,,RiboSeq-lpa1-1,leaf,,,,,4-week-old,,,,,,,,,,,,,,,,,Plant,,RiboSeq-lpa1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,uncalculated,uncalculated,not collected,,,,,,,Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RiboSeq,,,,,,,,,,,,,,,,
SRR23951090,RNA-Seq,300,17921982600,PRJNA948060,SAMN33874610,8587003300,SHANGHAI NORMAL UNIVERSITY,public,"fastq,sra","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX19759892,Complete Genomics,SINGLE,PCR,TRANSCRIPTOMIC,Arabidopsis,COMPLETE_GENOMICS,2023-04-01T00:00:00Z,2023-03-23T21:51:00Z,1,RiboSeq-pam68-2,SRP429001,,,RiboSeq-pam68-2,leaf,,,,,4-week-old,,,,,,,,,,,,,,,,,Plant,,RiboSeq-pam68-2,,,,,,,,,,,,,,,,,,,,,,,,,,,uncalculated,uncalculated,not collected,,,,,,,Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RiboSeq,,,,,,,,,,,,,,,,
SRR23951091,RNA-Seq,300,18828715200,PRJNA948060,SAMN33874609,8999424078,SHANGHAI NORMAL UNIVERSITY,public,"sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX19759891,Complete Genomics,SINGLE,PCR,TRANSCRIPTOMIC,Arabidopsis,COMPLETE_GENOMICS,2023-04-01T00:00:00Z,2023-03-23T21:19:00Z,1,RiboSeq-pam68-1,SRP429001,,,RiboSeq-pam68-1,leaf,,,,,4-week-old,,,,,,,,,,,,,,,,,Plant,,RiboSeq-pam68-1,,,,,,,,,,,,,,,,,,,,,,,,,,,uncalculated,uncalculated,not collected,,,,,,,Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RiboSeq,,,,,,,,,,,,,,,,
SRR23951092,RNA-Seq,300,24173997000,PRJNA948060,SAMN33874608,11819237955,SHANGHAI NORMAL UNIVERSITY,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX19759890,Complete Genomics,SINGLE,PCR,TRANSCRIPTOMIC,Arabidopsis,COMPLETE_GENOMICS,2023-04-01T00:00:00Z,2023-03-23T21:25:00Z,1,RiboSeq-fpb1-2,SRP429001,,,RiboSeq-fpb1-2,leaf,,,,,4-week-old,,,,,,,,,,,,,,,,,Plant,,RiboSeq-fpb1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,uncalculated,uncalculated,not collected,,,,,,,Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RiboSeq,,,,,,,,,,,,,,,,
SRR23951093,RNA-Seq,300,19923658200,PRJNA948060,SAMN33874607,9576774426,SHANGHAI NORMAL UNIVERSITY,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX19759889,Complete Genomics,SINGLE,PCR,TRANSCRIPTOMIC,Arabidopsis,COMPLETE_GENOMICS,2023-04-01T00:00:00Z,2023-03-23T21:18:00Z,1,RiboSeq-fpb1-1,SRP429001,,,RiboSeq-fpb1-1,leaf,,,,,4-week-old,,,,,,,,,,,,,,,,,Plant,,RiboSeq-fpb1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,uncalculated,uncalculated,not collected,,,,,,,Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RiboSeq,,,,,,,,,,,,,,,,
SRR11712347,OTHER,26,373584267,PRJNA630709,SAMN14842748,179213003,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8271777,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-10-02T00:00:00Z,2020-05-06T15:09:00Z,1,GSM4519037,SRP260267,MEF Wt,GSM4519037,,,,MEF expressing SV40 T,,,,empty vector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10850873,RNA-Seq,100,7909300934,PRJNA599943,SAMN13762539,3378895393,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7521416,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-06-30T00:00:00Z,2020-01-08T14:11:00Z,1,GSM4256667,SRP240357,CTRL KD 03 - riboseq,GSM4256667,,,,,HeLa cells,,,control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ribo-Seq,,,,,,,,,,,,,,,,,,,
SRR5137678,OTHER,23,291137248,PRJNA359690,SAMN06196961,223328645,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2457063,Illumina HiSeq 2500,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,2017-01-02T17:41:00Z,1,GSM2443016,SRP095901,HEK293 cells,GSM2443016,,,,,HEK293,Harringtonine-Chyclohexamide treated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR5137679,OTHER,23,162340995,PRJNA359690,SAMN06196960,124411453,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2457064,Illumina HiSeq 2500,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,2017-01-02T17:40:00Z,1,GSM2443017,SRP095901,HEK293 cells,GSM2443017,,,,,HEK293,Harringtonine-Chyclohexamide treated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR5137680,OTHER,24,144332762,PRJNA359690,SAMN06196958,113533932,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2457065,Illumina HiSeq 2500,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,2017-01-02T17:40:00Z,1,GSM2443018,SRP095901,HEK293 cells,GSM2443018,,,,,HEK293,Harringtonine-Chyclohexamide treated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR5137681,OTHER,23,310652250,PRJNA359690,SAMN06196959,238888418,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2457066,Illumina HiSeq 2500,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,2017-01-02T17:41:00Z,1,GSM2443019,SRP095901,HEK293 cells,GSM2443019,,,,,HEK293,Cyclohexamide treated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR5137682,OTHER,23,495982696,PRJNA359690,SAMN06196957,385745515,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2457067,Illumina HiSeq 2500,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,2017-01-02T17:44:00Z,1,GSM2443020,SRP095901,HEK293 cells,GSM2443020,,,,,HEK293,Cyclohexamide treated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR5137683,OTHER,24,188061755,PRJNA359690,SAMN06196956,144812145,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2457068,Illumina HiSeq 2500,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,2017-01-02T17:42:00Z,1,GSM2443021,SRP095901,HEK293 cells,GSM2443021,,,,,HEK293,Cyclohexamide treated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR5137684,OTHER,24,281672186,PRJNA359690,SAMN06196954,216885698,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2457069,Illumina HiSeq 2500,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,2017-01-02T17:43:00Z,1,GSM2443022,SRP095901,HEK293 cells,GSM2443022,,,,,HEK293,Cyclohexamide treated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR5137685,OTHER,24,338406399,PRJNA359690,SAMN06196955,261120033,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2457070,Illumina HiSeq 2500,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,2017-01-02T17:42:00Z,1,GSM2443023,SRP095901,HEK293 cells,GSM2443023,,,,,HEK293,Cyclohexamide treated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR5137686,OTHER,23,327067108,PRJNA359690,SAMN06196953,253785194,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2457071,Illumina HiSeq 2500,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,2017-01-02T17:42:00Z,1,GSM2443024,SRP095901,HEK293 cells,GSM2443024,,,,CRISPR-cas9 mediated CNBP knockout,HEK293,Harringtonine-Chyclohexamide treated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR5137687,OTHER,23,359481591,PRJNA359690,SAMN06196952,276289796,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2457072,Illumina HiSeq 2500,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,2017-01-02T17:43:00Z,1,GSM2443025,SRP095901,HEK293 cells,GSM2443025,,,,CRISPR-cas9 mediated CNBP knockout,HEK293,Cyclohexamide treated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR5137688,OTHER,23,162057483,PRJNA359690,SAMN06196951,125619423,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2457073,Illumina HiSeq 2500,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,2017-01-02T17:41:00Z,1,GSM2443026,SRP095901,HEK293 cells,GSM2443026,,,,CRISPR-cas9 mediated CNBP knockout,HEK293,Cyclohexamide treated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR5137689,OTHER,24,285505331,PRJNA359690,SAMN06196950,221491357,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2457074,Illumina HiSeq 2500,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,2017-01-02T17:45:00Z,1,GSM2443027,SRP095901,HEK293 cells,GSM2443027,,,,CRISPR-cas9 mediated CNBP knockout,HEK293,Cyclohexamide treated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR20138948,RNA-Seq,76,2179470088,PRJNA858256,SAMN29680386,907463040,"BIOINFORMATICS GROUP (AG BACKOFEN), DEPARTMENT OF COMPUTER SCIENCE, ALBERT-LUDWIGS-UNIVERSITY FREIBURG",public,"sra,run.zq,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX16174095,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Haloferax volcanii,ILLUMINA,2023-01-18T00:00:00Z,2022-07-13T12:13:00Z,1,GSM6336921,SRP386192,archaea,,GSM6336921,archaea,H119,archaea,,no treatment,,wild type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rRNA-depleted\, fragmented total RNA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR20138949,RNA-Seq,76,1735495188,PRJNA858256,SAMN29680387,754721667,"BIOINFORMATICS GROUP (AG BACKOFEN), DEPARTMENT OF COMPUTER SCIENCE, ALBERT-LUDWIGS-UNIVERSITY FREIBURG",public,"fastq,run.zq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX16174094,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Haloferax volcanii,ILLUMINA,2023-01-18T00:00:00Z,2022-07-13T12:10:00Z,1,GSM6336920,SRP386192,archaea,,GSM6336920,archaea,H119,archaea,,no treatment,,wild type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rRNA-depleted\, fragmented total RNA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR20138950,RNA-Seq,76,1554011596,PRJNA858256,SAMN29680388,651960086,"BIOINFORMATICS GROUP (AG BACKOFEN), DEPARTMENT OF COMPUTER SCIENCE, ALBERT-LUDWIGS-UNIVERSITY FREIBURG",public,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX16174093,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Haloferax volcanii,ILLUMINA,2023-01-18T00:00:00Z,2022-07-13T12:07:00Z,1,GSM6336919,SRP386192,archaea,,GSM6336919,archaea,H119,archaea,,no treatment,,wild type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rRNA-depleted\, fragmented total RNA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR20138951,OTHER,76,1865186680,PRJNA858256,SAMN29680389,800955233,"BIOINFORMATICS GROUP (AG BACKOFEN), DEPARTMENT OF COMPUTER SCIENCE, ALBERT-LUDWIGS-UNIVERSITY FREIBURG",public,"run.zq,fastq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX16174092,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,Haloferax volcanii,ILLUMINA,2023-01-18T00:00:00Z,2022-07-13T12:10:00Z,1,GSM6336918,SRP386192,archaea,,GSM6336918,archaea,H119,archaea,,no treatment,,wild type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ribosome footprint generated by RNase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR20138952,OTHER,76,1510794956,PRJNA858256,SAMN29680390,644599542,"BIOINFORMATICS GROUP (AG BACKOFEN), DEPARTMENT OF COMPUTER SCIENCE, ALBERT-LUDWIGS-UNIVERSITY FREIBURG",public,"run.zq,fastq,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX16174091,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,Haloferax volcanii,ILLUMINA,2023-01-18T00:00:00Z,2022-07-13T12:11:00Z,1,GSM6336917,SRP386192,archaea,,GSM6336917,archaea,H119,archaea,,no treatment,,wild type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ribosome footprint generated by MNase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR20138953,OTHER,76,1592708288,PRJNA858256,SAMN29680391,670234335,"BIOINFORMATICS GROUP (AG BACKOFEN), DEPARTMENT OF COMPUTER SCIENCE, ALBERT-LUDWIGS-UNIVERSITY FREIBURG",public,"sra,fastq,run.zq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX16174090,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,Haloferax volcanii,ILLUMINA,2023-01-18T00:00:00Z,2022-07-13T12:09:00Z,1,GSM6336916,SRP386192,archaea,,GSM6336916,archaea,H119,archaea,,no treatment,,wild type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ribosome footprint generated by MNase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR21595020,OTHER,127,4256100691,PRJNA880902,SAMN30876390,2133472352,UNIVERSITY OF PITTSBURGH,public,"sra,run.zq,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX17596679,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-01-06T00:00:00Z,2022-09-16T04:59:00Z,1,GSM6586866,SRP397502,epithelial,,GSM6586866,epithelial,,cancer,RKO,400 uM Arg,,WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
